,mean,std,min,max
mean_negativity_combined,0.36983904314943544,0.08082733236337171,0.2330434782608695,0.6635454545454547
mean_negativity_eng,0.38266158508543163,0.08427942896084029,0.2435483870967741,0.6819354838709678
mean_negativity_tha,0.3359137635183149,0.11137529859588927,0.1125,0.6361111111111111
mean_sentiment_combined,-0.06634111583323993,0.09016669553036567,-0.4141818181818182,0.0537037037037037
mean_sentiment_eng,-0.08021313071029205,0.10371945294307931,-0.4488172043010753,0.0709677419354838
mean_sentiment_tha,-0.010985740247295058,0.15807293195555638,-0.3642857142857143,0.41
n_articles_combined,94.70833333333333,17.712271491920756,57.0,149.0
n_articles_eng,69.19791666666667,13.41061621227684,37.0,94.0
n_articles_tha,25.510416666666668,12.985007380308518,8.0,75.0
epu_us,182.73958333333334,74.14612099612447,77.0,504.0
epu_china,481.0833333333333,185.01685082099763,141.0,875.0
epu_global,142.6162392655199,81.43217432604692,67.36266666666667,555.3246666666666
gpr_global,108.74846402804057,37.148499846241094,58.42076873779297,318.9549255371094
gpr_global_acts,89.05646262566249,44.80835506896557,28.454627990722656,250.9558563232422
gpr_thailand,0.03326157815657401,0.03490882981625503,0.0,0.2816196382045746
gpr_idn,0.047412963326981604,0.051651263515206845,0.0,0.3991105556488037
gpr_mys,0.03276510876215374,0.027352637199873974,0.0,0.1634301096200943
gpr_vnm,0.049664836022808835,0.03429584963561365,0.004452557768672705,0.2124064713716507
gpr_phl,0.04719204806800311,0.03908403647310213,0.004269307944923639,0.2136295735836029
