year_month,mean_negativity_combined,mean_negativity_eng,mean_negativity_tha,mean_sentiment_combined,mean_sentiment_eng,mean_sentiment_tha,n_articles_combined,n_articles_eng,n_articles_tha,gasohol95_retail_bkk,diesel_retail_bkk,gasohol95_wholesale,diesel_wholesale,epu_us,epu_china,epu_global,gpr_global,gpr_global_acts,gpr_thailand,gpr_idn,gpr_mys,gpr_vnm,gpr_phl
2017-01,0.3129496402877698,0.3071428571428571,0.3188405797101449,0.0169064748201438,0.0185714285714285,0.0152173913043478,139.0,70.0,69.0,27.63,26.43,26.12583472,24.62398697,195.0,428.0,144.13548387096773,105.20123291015625,103.17117309570312,0.010129659436643124,0.040518637746572495,0.045583467930555344,0.035453807562589645,0.09116693586111069
2017-02,0.3523571428571428,0.3492647058823529,0.3552777777777777,-0.0542857142857142,-0.0419117647058823,-0.0659722222222222,140.0,68.0,72.0,28.1,26.57,26.19192314,24.82915396,178.0,444.0,119.42750000000001,114.20635986328125,97.15160369873047,0.005507214460521936,0.04405771568417549,0.13217315077781677,0.04405771568417549,0.06057935953140259
2017-03,0.3520134228187919,0.3439189189189189,0.36,-0.0313422818791946,0.0182432432432432,-0.0802666666666666,149.0,74.0,75.0,26.94,25.8,24.9653549,23.95386565,155.0,331.0,112.85290322580646,96.63587951660156,95.67454528808594,0.019227072596549988,0.03364737704396248,0.1634301096200943,0.024033838883042336,0.038454145193099976
2017-04,0.3107476635514019,0.3146551724137931,0.3061224489795918,-0.0088785046728971,0.0422413793103448,-0.0693877551020408,107.0,58.0,49.0,27.36,25.57,25.45052269,23.88764407,158.0,246.0,101.35633333333334,119.45992279052734,108.06884002685547,0.021015025675296783,0.05253756418824196,0.04728380963206291,0.02626878209412098,0.04203005135059357
2017-05,0.3176767676767677,0.3418032786885246,0.2789473684210526,-0.0121212121212121,0.030327868852459,-0.0802631578947368,99.0,61.0,38.0,26.87,25.02,24.76802475,23.45315347,130.0,313.0,92.18935483870968,102.57996368408203,99.70480346679688,0.0761575922369957,0.04569455608725548,0.08123476803302765,0.040617384016513824,0.20308692753314972
2017-06,0.3576530612244897,0.4601851851851852,0.2318181818181818,-0.0440816326530612,-0.1244444444444444,0.0545454545454545,98.0,54.0,44.0,25.82,24.17,23.42825222,22.38639835,121.0,307.0,95.05999999999999,126.78901672363281,146.67166137695312,0.025799794122576714,0.0567595474421978,0.061919502913951874,0.01031991746276617,0.13931888341903687
2017-07,0.2962264150943396,0.2992063492063492,0.2918604651162791,0.0028301886792452,0.0555555555555555,-0.0744186046511627,106.0,63.0,43.0,25.71,24.52,23.85094627,22.88139193,141.0,263.0,100.40903225806451,102.81346130371094,71.9550552368164,0.021194297820329666,0.03179144859313965,0.026492873206734657,0.010597148910164833,0.0635828971862793
2017-08,0.3005102040816327,0.3225,0.2657894736842105,-0.0020408163265306,-0.0066666666666666,0.0052631578947368,98.0,60.0,38.0,26.66,24.99,24.79548169,23.18702533,138.0,277.0,73.28774193548388,138.5316162109375,108.43595123291016,0.032044436782598495,0.016022218391299248,0.032044436782598495,0.026703696697950363,0.2136295735836029
2017-09,0.3456730769230769,0.3324999999999999,0.3636363636363636,-0.0899038461538461,-0.0108333333333333,-0.1977272727272727,104.0,60.0,44.0,27.42,25.46,25.39249786,24.01495627,117.0,227.0,84.18766666666667,115.5344467163086,84.09626770019531,0.019973035901784897,0.06491237133741379,0.06990562379360199,0.009986517950892448,0.039946071803569794
2017-10,0.2330434782608695,0.2786764705882353,0.1670212765957447,-0.0213043478260869,-0.0705882352941176,0.05,115.0,68.0,47.0,27.24,25.93,25.36760736,24.22889767,126.0,169.0,70.21064516129033,91.4615707397461,69.15699768066406,0.020290561020374298,0.012174336239695549,0.032464899122714996,0.040581122040748596,0.10956902801990509
