year_month,mean_negativity_combined,mean_negativity_eng,mean_negativity_tha,mean_sentiment_combined,mean_sentiment_eng,mean_sentiment_tha,n_articles_combined,n_articles_eng,n_articles_tha
2017-01,0.3129496402877698,0.30714285714285716,0.3188405797101449,0.01690647482014388,0.018571428571428572,0.01521739130434782,139.0,70.0,69.0
2017-02,0.35235714285714287,0.3492647058823529,0.35527777777777775,-0.054285714285714284,-0.04191176470588236,-0.06597222222222222,140.0,68.0,72.0
2017-03,0.35201342281879194,0.3439189189189189,0.36,-0.03134228187919463,0.018243243243243237,-0.08026666666666667,149.0,74.0,75.0
2017-04,0.3107476635514019,0.3146551724137931,0.30612244897959184,-0.008878504672897193,0.04224137931034483,-0.06938775510204082,107.0,58.0,49.0
2017-05,0.3176767676767677,0.3418032786885246,0.2789473684210526,-0.012121212121212118,0.030327868852459017,-0.08026315789473684,99.0,61.0,38.0
2017-06,0.35765306122448975,0.4601851851851852,0.2318181818181818,-0.044081632653061226,-0.12444444444444444,0.05454545454545454,98.0,54.0,44.0
2017-07,0.29622641509433967,0.29920634920634925,0.2918604651162791,0.0028301886792452815,0.05555555555555555,-0.07441860465116279,106.0,63.0,43.0
2017-08,0.3005102040816327,0.3225,0.2657894736842105,-0.002040816326530609,-0.006666666666666664,0.0052631578947368455,98.0,60.0,38.0
2017-09,0.34567307692307697,0.33249999999999996,0.36363636363636365,-0.08990384615384615,-0.01083333333333333,-0.19772727272727272,104.0,60.0,44.0
2017-10,0.23304347826086957,0.2786764705882353,0.1670212765957447,-0.021304347826086954,-0.07058823529411765,0.05,115.0,68.0,47.0
2017-11,0.31575471698113206,0.3345070422535211,0.27771428571428575,-0.07830188679245283,-0.055633802816901404,-0.12428571428571428,106.0,71.0,35.0
2017-12,0.29216000000000003,0.2958227848101266,0.2858695652173913,-0.03872,-0.024556962025316455,-0.06304347826086956,125.0,79.0,46.0
2018-01,0.32439024390243903,0.33430232558139533,0.3013513513513514,-0.007560975609756099,0.014767441860465117,-0.05945945945945946,123.0,86.0,37.0
2018-02,0.3170731707317073,0.348125,0.2593023255813954,-0.04999999999999999,-0.06312499999999999,-0.025581395348837205,123.0,80.0,43.0
2018-03,0.35900900900900895,0.39436619718309857,0.29625,-0.09414414414414414,-0.08661971830985915,-0.1075,111.0,71.0,40.0
