Date,Thailand_all,Thailand_initiator,Thailand_respondent,Thailand_spillover
01-05-71,3.0015,0,0,3.0015
01-06-71,2.9656,0,0,2.9656
01-07-71,2.2599,0.2511,0.5022,1.5066
01-08-71,2.3262,0,0,2.3262
01-09-71,1.0665,0,0,1.0665
01-10-71,0.5041,0,0,0.5041
01-11-71,1.371,0.914,0,0.457
01-12-71,1.5359,0.1707,0.512,0.8533
01-01-72,4.7072,0.2394,0.9574,3.5105
01-02-72,1.5294,0.483,0.2415,0.8049
01-03-72,1.9171,0.4793,0.2396,1.1982
01-04-72,0.5829,0,0.1943,0.3886
01-05-72,1.4624,0,0.5982,0.8641
01-06-72,1.4131,0,0.2355,1.1776
01-07-72,1.8956,0.2369,0.7108,0.9478
01-08-72,1.0852,0.2713,0.2713,0.5426
01-09-72,1.4374,0.616,0,0.8214
01-10-72,2.7337,0,1.139,1.5947
01-11-72,1.4389,0,0.2398,1.1991
01-12-72,3.7346,0.3863,0.7727,2.5756
01-01-73,1.6157,0,0.2308,1.3849
01-02-73,3.45,0,0,3.45
01-03-73,0.6319,0.2106,0.2106,0.2106
01-04-73,0.9868,0,0.3947,0.5921
01-05-73,1.4671,0.2096,0.6288,0.6288
01-06-73,0.2594,0,0,0.2594
01-07-73,1.2312,0,0.2309,1.0004
01-08-73,7.9863,1.198,0.9983,5.7901
01-09-73,0.2116,0,0,0.2116
01-10-73,1.1883,0.5941,0.4456,0.1485
01-11-73,0.2396,0.2396,0,0
01-12-73,0.2528,0,0.2528,0
01-01-74,0.2634,0,0.2634,0
01-02-74,0.8653,0.2884,0.2884,0.2884
01-03-74,0,0,0,0
01-04-74,0.7418,0,0,0.7418
01-05-74,0.198,0,0,0.198
01-06-74,0,0,0,0
01-07-74,1.4784,0.924,0.1848,0.3696
01-08-74,0.3479,0,0.174,0.174
01-09-74,0.4831,0,0,0.4831
01-10-74,0,0,0,0
01-11-74,0,0,0,0
01-12-74,1.3558,0.226,0.226,0.9039
01-01-75,1.2948,0,0,1.2948
01-02-75,0.6429,0,0,0.6429
01-03-75,2.0889,0,0.3133,1.7756
01-04-75,8.8779,0.1558,2.0248,6.6974
01-05-75,13.5694,0.4112,2.9469,10.2113
01-06-75,5.04,0.24,1.44,3.36
01-07-75,2.4466,0,0.2294,2.2172
01-08-75,2.6432,0.4405,0.6608,1.5419
01-09-75,0.6997,0,0,0.6997
01-10-75,0.4809,0.2404,0.2404,0
01-11-75,2.0871,1.6696,0.2087,0.2087
01-12-75,1.2836,0,0,1.2836
01-01-76,0.5547,0.1849,0.1849,0.1849
01-02-76,0.6816,0.2272,0.2272,0.2272
01-03-76,2.1153,0.5769,1.1538,0.3846
01-04-76,3.9424,0,1.5331,2.4092
01-05-76,1.2379,0,0.5864,0.6515
01-06-76,0.3666,0,0.3666,0
01-07-76,0.7643,0.1911,0,0.5732
01-08-76,0.9135,0.3654,0.3654,0.1827
01-09-76,0.22,0,0.22,0
01-10-76,5.6451,3.8959,1.7492,0
01-11-76,1.0723,1.0723,0,0
01-12-76,1.6924,0,1.3938,0.2987
01-01-77,0.5176,0.2588,0.2588,0
01-02-77,1.7979,0,1.4982,0.2996
01-03-77,4.2481,1.9991,1.9991,0.2499
01-04-77,1.2205,0.4882,0.2441,0.4882
01-05-77,0,0,0,0
01-06-77,0.5288,0.2644,0.2644,0
01-07-77,2.1615,1.6812,0.4803,0
01-08-77,1.4604,0.2434,0.9736,0.2434
01-09-77,1.2033,0,0.9626,0.2407
01-10-77,2.0843,0.6948,0.9264,0.4632
01-11-77,1.5568,0.2919,0.8757,0.3892
01-12-77,1.115,0.3717,0.7434,0
01-01-78,2.6485,0,0.5885,2.0599
01-02-78,1.5187,0,0.5062,1.0125
01-03-78,0.528,0,0.176,0.352
01-04-78,1.1688,0.2338,0.2338,0.7013
01-05-78,2.4271,0,0.6068,1.8203
01-06-78,1.3276,0.2213,0.4425,0.6638
01-07-78,0.4684,0,0,0.4684
01-08-78,1.3207,0,0.8805,0.4402
01-09-78,0.69,0,0.23,0.46
01-10-78,0.4567,0,0,0.4567
01-11-78,0.7924,0,0.2377,0.5547
01-12-78,0.6841,0,0,0.6841
01-01-79,8.9191,0,0.2141,8.705
01-02-79,2.9822,0.639,0.639,1.7041
01-03-79,2.2868,0,0.6237,1.6631
01-04-79,3.5759,0.2063,0,3.3696
01-05-79,1.6935,0.2419,0,1.4515
01-06-79,5.9571,2.2063,0.4413,3.3095
01-07-79,1.0062,0.2515,0,0.7546
01-08-79,1.9229,0,0.2622,1.6607
01-09-79,1.97,0,0.4378,1.5322
01-10-79,5.7869,0,1.599,4.1879
01-11-79,3.643,0.9758,0.3903,2.2769
01-12-79,2.4273,0.5602,0.3734,1.4938
01-01-80,1.8568,0,0.7427,1.1141
01-02-80,2.2388,0.2035,0.2035,1.8318
01-03-80,1.2646,0,0.2108,1.0538
01-04-80,0.4098,0,0,0.4098
01-05-80,0.6943,0.4629,0.2314,0
01-06-80,9.3805,1.3202,6.9485,1.1118
01-07-80,5.963,0.697,2.3232,2.9428
01-08-80,1.3717,0,0.9144,0.4572
01-09-80,0.6396,0.2132,0.2132,0.2132
01-10-80,0.1949,0,0,0.1949
01-11-80,0.4685,0.2343,0,0.2343
01-12-80,0,0,0,0
01-01-81,0.9152,0,0.6864,0.2288
01-02-81,0.873,0.4365,0.4365,0
01-03-81,1.7854,0,0.7935,0.9919
01-04-81,1.945,0.778,0.778,0.389
01-05-81,0.559,0,0,0.559
01-06-81,1.015,0.203,0.406,0.406
01-07-81,0.6434,0,0,0.6434
01-08-81,0.2142,0,0,0.2142
01-09-81,1.0868,0,0,1.0868
01-10-81,0.3306,0,0.3306,0
01-11-81,0.5915,0,0,0.5915
01-12-81,0,0,0,0
01-01-82,1.8515,1.0286,0.2057,0.6172
01-02-82,1.5845,0.9054,0.2264,0.4527
01-03-82,0.8609,0,0.1722,0.6887
01-04-82,0.4548,0.1516,0.1516,0.1516
01-05-82,0.42,0,0.14,0.28
01-06-82,0.4316,0,0,0.4316
01-07-82,1.5114,0,0.1679,1.3434
01-08-82,0.1763,0,0,0.1763
01-09-82,0.1847,0,0.1847,0
01-10-82,0.7359,0.184,0,0.5519
01-11-82,0.4698,0,0,0.4698
01-12-82,0,0,0,0
01-01-83,0.6202,0,0.2067,0.4134
01-02-83,2.8141,0,0,2.8141
01-03-83,0.3855,0,0,0.3855
01-04-83,10.7037,1.1893,3.3036,6.2108
01-05-83,0.7835,0.3616,0,0.4219
01-06-83,0.6356,0,0,0.6356
01-07-83,0.195,0,0,0.195
01-08-83,0.4928,0,0.1643,0.3286
01-09-83,0.2825,0,0.1413,0.1413
01-10-83,0.1183,0,0,0.1183
01-11-83,0.2459,0,0,0.2459
01-12-83,1.2995,0.3773,0,0.9222
01-01-84,0.6222,0,0,0.6222
01-02-84,0.3005,0,0,0.3005
01-03-84,1.4694,0.9351,0.2672,0.2672
01-04-84,2.9432,0.1402,1.0278,1.7753
01-05-84,0.5421,0,0.1251,0.417
01-06-84,0.4014,0.2676,0,0.1338
01-07-84,0.8163,0,0,0.8163
01-08-84,0.3834,0.1917,0.1917,0
01-09-84,0,0,0,0
01-10-84,0.683,0.2277,0.2277,0.2277
01-11-84,1.8341,0,0.4076,1.4265
01-12-84,5.9767,0.4597,0,5.5169
01-01-85,10.7011,0.2451,1.5521,8.9039
01-02-85,6.9557,0.2641,0.8805,5.8111
01-03-85,4.4944,0.8229,1.2027,2.4688
01-04-85,2.0691,0,0,2.0691
01-05-85,3.0613,0.896,1.4933,0.672
01-06-85,0.6876,0.1719,0.3438,0.1719
01-07-85,2.9703,0,0,2.9703
01-08-85,0.8711,0,0.2178,0.6533
01-09-85,3.9189,1.2825,2.4226,0.2138
01-10-85,0.1948,0,0,0.1948
