Date,Thailand_all,Thailand_initiator,Thailand_respondent,Thailand_spillover
01-03-15,0,0,0,0
01-04-15,0.2623,0,0.2623,0
01-05-15,1.5657,0,1.0438,0.5219
01-06-15,0.2675,0,0,0.2675
01-07-15,1.4386,0.8631,0.5754,0
01-08-15,3.2397,0,2.9538,0.2859
01-09-15,1.928,0,1.928,0
01-10-15,0,0,0,0
01-11-15,0,0,0,0
01-12-15,0,0,0,0
01-01-16,1.0706,0,0.5353,0.5353
01-02-16,0.8225,0.2742,0.5483,0
01-03-16,0,0,0,0
01-04-16,0,0,0,0
01-05-16,0,0,0,0
01-06-16,0,0,0,0
01-07-16,0,0,0,0
01-08-16,1.727,0.2878,1.4392,0
01-09-16,0,0,0,0
01-10-16,0,0,0,0
01-11-16,0,0,0,0
01-12-16,0.2846,0.2846,0,0
01-01-17,0,0,0,0
01-02-17,0,0,0,0
01-03-17,0,0,0,0
01-04-17,0,0,0,0
01-05-17,0.3016,0,0.3016,0
01-06-17,0,0,0,0
01-07-17,0,0,0,0
01-08-17,0,0,0,0
01-09-17,0.2577,0,0,0.2577
01-10-17,0.5335,0.2667,0,0.2667
01-11-17,0,0,0,0
01-12-17,0,0,0,0
01-01-18,0.3177,0,0,0.3177
01-02-18,0,0,0,0
01-03-18,0,0,0,0
01-04-18,0,0,0,0
01-05-18,0.3249,0,0,0.3249
01-06-18,0,0,0,0
01-07-18,0,0,0,0
01-08-18,0,0,0,0
01-09-18,0,0,0,0
01-10-18,0.3233,0,0,0.3233
01-11-18,0,0,0,0
01-12-18,0,0,0,0
01-01-19,0.3516,0,0.3516,0
01-02-19,0.362,0,0.362,0
01-03-19,0,0,0,0
01-04-19,0,0,0,0
01-05-19,0,0,0,0
01-06-19,0,0,0,0
01-07-19,0,0,0,0
01-08-19,0,0,0,0
01-09-19,0.322,0,0,0.322
01-10-19,0.3102,0.3102,0,0
01-11-19,0.3735,0,0.3735,0
01-12-19,0,0,0,0
01-01-20,0,0,0,0
01-02-20,0,0,0,0
01-03-20,0,0,0,0
01-04-20,0,0,0,0
01-05-20,0,0,0,0
01-06-20,0,0,0,0
01-07-20,0,0,0,0
01-08-20,0,0,0,0
01-09-20,0,0,0,0
01-10-20,0.3176,0.3176,0,0
01-11-20,0.3536,0.3536,0,0
01-12-20,0,0,0,0
01-01-21,0,0,0,0
01-02-21,0.8005,0,0,0.8005
01-03-21,0.4155,0,0,0.4155
01-04-21,1.7139,0,0,1.7139
01-05-21,0.5354,0,0,0.5354
01-06-21,0,0,0,0
01-07-21,0,0,0,0
01-08-21,0.5515,0,0,0.5515
01-09-21,0.5279,0,0,0.5279
01-10-21,0,0,0,0
01-11-21,0.3641,0,0,0.3641
01-12-21,0.6004,0,0,0.6004
01-01-22,0.263,0,0,0.263
01-02-22,0,0,0,0
01-03-22,0,0,0,0
01-04-22,0.2346,0,0,0.2346
01-05-22,0,0,0,0
01-06-22,0.2455,0.2455,0,0
01-07-22,0,0,0,0
01-08-22,0,0,0,0
01-09-22,0.3348,0,0,0.3348
01-10-22,0.3179,0,0,0.3179
01-11-22,0.2675,0,0,0.2675
01-12-22,0,0,0,0
01-01-23,0,0,0,0
01-02-23,0,0,0,0
01-03-23,0,0,0,0
01-04-23,0,0,0,0
01-05-23,0,0,0,0
01-06-23,0,0,0,0
01-07-23,0,0,0,0
01-08-23,0,0,0,0
01-09-23,0,0,0,0
01-10-23,0,0,0,0
01-11-23,2.0898,0,0,2.0898
01-12-23,0.5958,0,0,0.5958
01-01-24,0.2957,0,0,0.2957
01-02-24,0.735,0,0.315,0.42
01-03-24,0,0,0,0
01-04-24,0.6221,0,0,0.6221
01-05-24,0,0,0,0
01-06-24,0.3079,0,0,0.3079
01-07-24,0.3398,0,0,0.3398
01-08-24,0,0,0,0
01-09-24,0,0,0,0
01-10-24,0,0,0,0
01-11-24,0,0,0,0
01-12-24,0.6431,0,0,0.6431
01-01-25,1.4075,0,1.0556,0.3519
01-02-25,1.4911,0.7456,0,0.7456
01-03-25,1.0319,0,0.344,0.6879
01-04-25,0.7844,0,0.3922,0.3922
01-05-25,0,0,0,0
01-06-25,0.6256,0.3128,0,0.3128
01-07-25,7.8598,6.0372,0.7974,1.0252
01-08-25,0.962,0.3207,0,0.6413
01-09-25,0.7117,0,0.7117,0
01-10-25,1.3286,0.6643,0.6643,0
01-11-25,0.7374,0.3687,0.3687,0
01-12-25,4.885,4.885,0,0
01-01-26,0.4678,0,0,0.4678
01-02-26,0,0,0,0
01-03-26,1.073,0.6438,0,0.4292
